=== Начало обработки ===
[2026-01-20 22:18:39] [SUCCESS] Загружено 190 вакансий
[2026-01-20 22:18:39] [INFO] Найдено 70 технических вакансий
[2026-01-20 22:18:39] [INFO] Будет обработано: 70 вакансий (ВСЕ!)
[2026-01-20 22:18:39] [SUCCESS] Успешно отправлена: post_1768646013991 -> 
[2026-01-20 22:18:40] [SUCCESS] Успешно отправлена: post_1768646013992 -> 
[2026-01-20 22:18:41] [SUCCESS] Успешно отправлена: post_1768646013993 -> 
[2026-01-20 22:18:41] [SUCCESS] Успешно отправлена: post_1768646013994 -> 
[2026-01-20 22:18:42] [SUCCESS] Успешно отправлена: post_1768646017062 -> 
[2026-01-20 22:18:43] [SUCCESS] Успешно отправлена: post_1768646017063 -> 
[2026-01-20 22:18:43] [SUCCESS] Успешно отправлена: post_1768646017065 -> 
[2026-01-20 22:18:44] [SUCCESS] Успешно отправлена: post_1768646017066 -> 
[2026-01-20 22:18:45] [SUCCESS] Успешно отправлена: post_1768646020169 -> 
[2026-01-20 22:18:45] [SUCCESS] Успешно отправлена: post_1768646020170 -> 
[2026-01-20 22:18:46] [SUCCESS] Успешно отправлена: post_1768646020171 -> 
[2026-01-20 22:18:47] [SUCCESS] Успешно отправлена: post_1768646020172 -> 
[2026-01-20 22:18:47] [SUCCESS] Успешно отправлена: post_1768646020173 -> 
[2026-01-20 22:18:48] [SUCCESS] Успешно отправлена: post_1768646023286 -> 
[2026-01-20 22:18:49] [SUCCESS] Успешно отправлена: post_1768646023287 -> 
[2026-01-20 22:18:49] [SUCCESS] Успешно отправлена: post_1768646023288 -> 
[2026-01-20 22:18:50] [SUCCESS] Успешно отправлена: post_1768646026374 -> 
[2026-01-20 22:18:51] [SUCCESS] Успешно отправлена: post_1768646026375 -> 
[2026-01-20 22:18:51] [SUCCESS] Успешно отправлена: post_1768646026376 -> 
[2026-01-20 22:18:52] [SUCCESS] Успешно отправлена: post_1768646026377 -> 
[2026-01-20 22:18:53] [SUCCESS] Успешно отправлена: post_1768646026378 -> 
[2026-01-20 22:18:53] [SUCCESS] Успешно отправлена: post_1768646029454 -> 
[2026-01-20 22:18:54] [SUCCESS] Успешно отправлена: post_1768646029455 -> 
[2026-01-20 22:18:54] [SUCCESS] Успешно отправлена: post_1768646029456 -> 
[2026-01-20 22:18:55] [SUCCESS] Успешно отправлена: post_1768646029457 -> 
[2026-01-20 22:18:56] [SUCCESS] Успешно отправлена: post_1768646032556 -> 
[2026-01-20 22:18:56] [SUCCESS] Успешно отправлена: post_1768646032557 -> 
[2026-01-20 22:18:57] [SUCCESS] Успешно отправлена: post_1768646032558 -> 
[2026-01-20 22:18:58] [SUCCESS] Успешно отправлена: post_1768646035645 -> 
[2026-01-20 22:18:58] [SUCCESS] Успешно отправлена: post_1768646035646 -> 
[2026-01-20 22:18:59] [SUCCESS] Успешно отправлена: post_1768646035647 -> 
[2026-01-20 22:19:00] [SUCCESS] Успешно отправлена: post_1768646035648 -> 
[2026-01-20 22:19:00] [SUCCESS] Успешно отправлена: post_1768646038753 -> 
[2026-01-20 22:19:01] [SUCCESS] Успешно отправлена: post_1768646038754 -> 
[2026-01-20 22:19:02] [SUCCESS] Успешно отправлена: post_1768646038755 -> 
[2026-01-20 22:19:02] [SUCCESS] Успешно отправлена: post_1768646038756 -> 
[2026-01-20 22:19:03] [SUCCESS] Успешно отправлена: post_1768646041843 -> 
[2026-01-20 22:19:04] [SUCCESS] Успешно отправлена: post_1768646041844 -> 
[2026-01-20 22:19:04] [SUCCESS] Успешно отправлена: post_1768646041845 -> 
[2026-01-20 22:19:05] [SUCCESS] Успешно отправлена: post_1768646041846 -> 
